id,steps,order
471666,"beat on medium-high speed until fluffy and bowl is cool to the touch , about 10 minutes",5
471666,"continue beating until stiff , glossy peaks form",6
471666,meringue will be white with a bright sheen and very sticky,7
471666,reduce speed to medium-low,8
471666,"add butter a few cubes at a time , beating well after each addition",9
471666,if the meringue is not cool enough it will completely melt the butter,10
471666,continue beating till all the butter is incorporated,11
471666,"at one point the mixture will look ""broken"" looking watery and separated like curdled milk",12
471666,continue mixing it will all come together i promise,13
471666,beat in vanilla or other flavorings or color paste,14
471666,buttercream can be refrigerated in an airtight container up to 3 days or frozen up to 1 month,15
471666,bring to room temperature before using,16
471666,"beat on lowest speed until smooth , about 3 minutes",17
496213,pre heat oven to 350,1
496213,add bananas and oats to a bowl,2
496213,"mash until creamed together , i used a fork",3
496213,add additional oats if needed to,4
496213,should end up with a drop cookie consistency,5
496213,add whatever 'add ins' you'd like but try to keep the dough moist enough to hold the cookie together,6
496213,place on cookie sheet either by small dropfulls or spoon on and flatten top,7
496213,bake for 12-15 mins,8
400243,freeze the can of peaches for at least 18 hours,1
400243,"when you're ready to make the sorbet , submerge the can in hot water for 1-2 minutes to loosen it up a bit in the can before opening",2
400243,open the can and pour the syrup into the container in which you'll puree the fruit,3
400243,slice the frozen peaches into chunks and then add to the syrup,4
400243,add the lemon juice and puree until smooth,5
400243,enjoy immediately or you can cover and freeze for up to 8 hours !,6
501408,"mash ripe banana well , add in whisk eggs",1
501408,"warm non stick or cast iron pan to medium , spray with oil",2
501408,cook silver dollar size pancakes 30 seconds on each side and serve,3
122497,put ingredients into a blender and blend until completely smooth,1
122497,"serve in plastic cups with swivel straw , if available",2
144841,preheat oven to 325 degrees farenheit,1
144841,layer in mixer in order given,2
144841,beat at low 1 minute,3
144841,scrape sides,4
144841,beat at medium 2 minutes,5
144841,pour batter into a greased and floured 10 inch tube pan,6
144841,bake at 325 for 1 hour and 30 minutes or until it tests done in the middle,7
144841,cool in pan for 10 minutes,8
144841,remove from pan and cool completely,9
152441,cook carrots until tender- or to desired doneness,1
152441,"melt butter and add brown sugar and ginger , stirring to blend",2
152441,add sauce to carrots and stir to coat,3
136112,cut off bases on asparagus and boil in water in sauce pan for 10 minutes,1
136112,pre-heat oven to 400,2
136112,"cover cookie sheet or 9 x 11 pan with aluminum foil , lie asparagus stalks on foil - season with pepper",3
136112,"cover with slices of brie , season with pepper",4
136112,"cover brie with diced cheddar , season with pepper",5
136112,"cover cheddar with grated mozzarella , season again",6
136112,place pan in oven for 10 minutes or until cheese is melted,7
136112,"turn oven setting to broil and leave in for a few minutes until cheese is beginning to brown , around 5 minutes",8
136112,serve hot,9
112648,peel and chop oranges into bite size pieces,1
112648,core and chop apples into bite size pieces,2
112648,peel and chop bananas into bite size pieces,3
112648,add walnuts and salad dressing,4
112648,"some people like more salad dressing , some less",5
112648,you judge,6
112648,stir,7
112648,chill,8
112648,"if you have less people , just use less fruit",9
112648,this is good in the summer time too,10
21428,"in small bowl , combine butter and garlic",1
21428,brush on cut sides of bread,2
21428,place on baking sheet,3
21428,bake at 375 for 8 minutes,4
21428,broil for 2 minutes to brown,5
21428,cut into thick slices,6
525818,1,1
525818,mix all three ingredients in a large bowl until combined,2
525818,2,3
525818,drop by rounded teaspoonfuls onto a cookie sheet lined with parchment paper,4
525818,3,5
525818,"using a fork coated with granulated sugar , press a criss-cross or tic-tac-toe grid into the top of each cookie",6
525818,4,7
525818,bake at 350 degrees for 10-12 mins until edges are lightly browned,8
525818,5,9
525818,gently transfer to a cooling rack,10
525818,store in an airtight container,11
525818,yield: approximately 2 dozen,12
96064,combine all ingredients,1
96064,heat over low heat and serve,2
193053,preheat oven to 360f,1
193053,"steam your vegetables , reserve the juice",2
193053,cut them into big bite size pieces and put in a oven dish,3
193053,melt butter in a medium saucepan,4
193053,"add flour and mix in , it wont be smooth yet",5
193053,"gradually add the milk stirring it in ,",6
193053,you want to get to a custard consistency,7
193053,if you run out of milk you can use the juices from the vegetables to get it to a custard-like consistency,8
193053,"once it is the right consistency and is starting to boil , add the cheese",9
193053,it will start to thicken now,10
193053,wait a little bit while the cheese melts,11
193053,pour over vegetables,12
193053,"if it doesn't go in between the vegetables and just sits on top , put it back on the element and add some more juice or milk to get it right",13
193053,you can leave until you want to cook or cook straight away,14
193053,"cook in oven for 30 minutes , or until done",15
193053,"if you like it extra cheesy , before you put it in the oven add some mozzarella cheese on top",16
193053,"it will be very hot , so be careful",17
31683,scald milk with margarine,1
31683,"remove from heat , add bread veggies , salt , eggs and 3 / 4 cup cheese",2
31683,"mix together and pour into a 4 quart greased casserole , top with remaining 1 / 2 cup of cheese",3
31683,bake at 325 for 40 min,4
31683,want some extra flavour use half evaporated milk,5
311959,brown meat and onion together,1
311959,mix in remaining ingredients,2
311959,at this point you can:,3
311959,-cool completely and place in large freezer bags and freeze:,4
311959,-place in a crock pot for several hours,5
311959,-put in a baking dish and bake at 350 for an hour and a half,6
311959,"if frozen , thaw and cook following step 2 or 3",7
324047,combine the ingredients,1
324047,pour into baking dish,2
324047,bake at 325 for 40 minutes,3
324047,"while everyone i know loves this dip , i found it to be a bit bland",4
